run_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_layout	fastq_ftp	fastq_md5	fastq_bytes	day	hour	replicate	sample_id
SRR26039810	SAMN37359290	SRS18863611	GSM7776112	Leaves, 2d post transition, ZT8, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/010/SRR26039810/SRR26039810_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/010/SRR26039810/SRR26039810_2.fastq.gz	6f18a330c6f835b864ef90138d4c710c;ea576ac8fafd66837f04728fcdb694d0	2838444728;2945205725	2	8	2	ZT8_rep_2
SRR26039809	SAMN37359289	SRS18863612	GSM7776113	Leaves, 2d post transition, ZT8, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/009/SRR26039809/SRR26039809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/009/SRR26039809/SRR26039809_2.fastq.gz	40473cd5a4f7f1b38c362c820ae9397d;20b5e4d89512ec0ff88a05b64828d113	3767234924;3920215052	2	8	3	ZT8_rep_3
SRR26039826	SAMN37359306	SRS18863595	GSM7776096	Leaves, 2d post transition, ZT12, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/026/SRR26039826/SRR26039826_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/026/SRR26039826/SRR26039826_2.fastq.gz	a48a04b06770a8565a6398b0a5065600;34ed9e1ace5d7518ad5dcbb7f023c15a	7621129727;7986511311	2	12	1	ZT12_rep_1
SRR26039825	SAMN37359305	SRS18863596	GSM7776097	Leaves, 2d post transition, ZT12, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/025/SRR26039825/SRR26039825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/025/SRR26039825/SRR26039825_2.fastq.gz	0a2fd4d83ccf9ed8a3d5b689af57a752;13fdca4da3b6b2e3ece1f311e92284cc	2133308931;2132657564	2	12	2	ZT12_rep_2
SRR26039824	SAMN37359304	SRS18863597	GSM7776098	Leaves, 2d post transition, ZT12, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/024/SRR26039824/SRR26039824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/024/SRR26039824/SRR26039824_2.fastq.gz	021d67d19ab17d150eaf3092bd8ede20;a77d247de75bc5c54b1504abfb5207f5	4030614119;4160181145	2	12	3	ZT12_rep_3
SRR26039823	SAMN37359303	SRS18863598	GSM7776099	Leaves, 2d post transition, ZT16, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/023/SRR26039823/SRR26039823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/023/SRR26039823/SRR26039823_2.fastq.gz	e98ed996ec63b12c74d13ff09f46e515;9445720edcf5f79750e828f645946178	3113955986;3114911083	2	16	1	ZT16_rep_1
SRR26039822	SAMN37359302	SRS18863599	GSM7776100	Leaves, 2d post transition, ZT16, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/022/SRR26039822/SRR26039822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/022/SRR26039822/SRR26039822_2.fastq.gz	4ee4149c31fc06f423b57c1e3ddcd286;fc5bcbae31d6472c648433dab38e25f2	2836517439;2917456133	2	16	2	ZT16_rep_2
SRR26039821	SAMN37359301	SRS18863600	GSM7776101	Leaves, 2d post transition, ZT16, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/021/SRR26039821/SRR26039821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/021/SRR26039821/SRR26039821_2.fastq.gz	f5fa480aff5b83c86d82475857268534;c084a4e3298623fe9ee508bcb204dac0	4231675292;4420545266	2	16	3	ZT16_rep_3
SRR26039817	SAMN37359297	SRS18863604	GSM7776105	Leaves, 2d post transition, ZT20, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/017/SRR26039817/SRR26039817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/017/SRR26039817/SRR26039817_2.fastq.gz	1ce5a219c39403118765251ff99167fd;e3a7696b4281e4cacf01f8279cb3b355	3741272608;3808791910	2	20	1	ZT20_rep_1
SRR26039816	SAMN37359296	SRS18863605	GSM7776106	Leaves, 2d post transition, ZT20, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/016/SRR26039816/SRR26039816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/016/SRR26039816/SRR26039816_2.fastq.gz	3cdfb934e59f9466cfc5b6b136ce0eea;aec52c4e8cdbc8d132e29c8494b780e0	1965895786;1966087467	2	20	2	ZT20_rep_2
SRR26039815	SAMN37359295	SRS18863606	GSM7776107	Leaves, 2d post transition, ZT20, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/015/SRR26039815/SRR26039815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/015/SRR26039815/SRR26039815_2.fastq.gz	a4727838824cef8dada972e0d9eac602;37fbe09f2fe0f9d40e80d6cc2a97369d	2794862185;2892393442	2	20	3	ZT20_rep_3
