ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0009261	ribonucleotide catabolic process	45	0.589434762850122	1.82920406268422	0.000932215622792671	0.0252092112079145	0.0222653723990955	1721	tags=29%, list=11%, signal=26%	AT4G26530/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT1G13440/AT3G04120/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT4G29130
GO:1901568	fatty acid derivative metabolic process	50	-0.522750799255976	-1.78412917560025	0.00103722127312707	0.027346949093516	0.0241534731302929	2575	tags=40%, list=17%, signal=33%	AT1G10670/AT5G62470/AT3G49210/AT1G06360/AT3G16090/AT5G47110/AT1G49430/AT3G47600/AT2G37540/AT1G79700/AT1G51500/AT3G55360/AT5G52100/AT4G33790/AT5G12420/AT2G26800/AT1G68530/AT4G24510/AT5G57800/AT2G47240
GO:0009185	ribonucleoside diphosphate metabolic process	50	0.551803417304433	1.75440843658454	0.00103975379365972	0.027346949093516	0.0241534731302929	1721	tags=26%, list=11%, signal=23%	AT4G26530/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT1G13440/AT3G04120/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT4G29130
GO:0098754	detoxification	98	0.467597806557401	1.66492692597195	0.00108415657481804	0.0281294678871708	0.0248446122621887	1536	tags=28%, list=10%, signal=25%	AT1G19570/AT4G21910/AT2G30860/AT4G11600/AT1G19550/AT1G11840/AT4G25640/AT5G44050/AT1G56650/AT1G02930/AT1G78370/AT1G71140/AT1G20630/AT1G10370/AT1G61890/AT3G44310/AT1G11670/AT4G35000/AT3G03190/AT2G04080/AT5G22300/AT5G52450/AT2G02390/AT1G32540/AT1G64710/AT1G17190/AT1G78380
GO:0009753	response to jasmonic acid	150	0.424449789117321	1.60458250986376	0.00137589218693111	0.0352228399854364	0.031109646500295	1667	tags=25%, list=11%, signal=23%	AT4G23600/AT1G19570/AT1G18150/AT5G44420/AT4G12030/AT2G46370/AT1G02205/AT1G20510/AT3G15210/AT5G14200/AT5G07690/AT1G56650/AT1G17420/AT1G19180/AT5G24770/AT3G44860/AT1G54040/AT5G52320/AT5G11790/AT3G51450/AT3G45140/AT1G19640/AT4G22880/AT3G15510/AT3G14395/AT5G05600/AT1G72450/AT1G55020/AT3G50660/AT1G42540/AT2G28900/AT5G42650/AT1G63650/AT3G16470/AT2G39770/AT4G31550/AT1G31690/AT3G43440
GO:0006195	purine nucleotide catabolic process	47	0.580622020842658	1.82805403656655	0.00153556497949267	0.0380103568759986	0.0335716474381764	2086	tags=30%, list=14%, signal=26%	AT4G26530/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT1G13440/AT3G04120/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT4G29130/AT1G68760
GO:1902074	response to salt	33	0.612986494399978	1.80462256353034	0.00153303521840619	0.0380103568759986	0.0335716474381764	1629	tags=30%, list=11%, signal=27%	AT2G43010/AT5G52310/AT4G35300/AT1G51140/AT2G41900/AT3G46110/AT1G74940/AT2G25625/AT2G25690/AT5G42050
GO:0009861	jasmonic acid and ethylene-dependent systemic resistance	11	0.789040282891994	1.79921467743406	0.00154417074808744	0.0380103568759986	0.0335716474381764	177	tags=27%, list=1%, signal=27%	AT5G44420/AT3G01310/AT2G46370
GO:0009408	response to heat	218	0.388124146835832	1.53162026733707	0.00160650093670725	0.0390440733984547	0.0344846503535693	1760	tags=19%, list=11%, signal=17%	AT2G42540/AT1G13930/AT3G44990/AT2G43010/AT2G28840/AT4G26080/AT2G38750/AT1G06460/AT5G57050/AT1G77000/AT1G07890/AT3G53990/AT1G35720/AT1G78080/AT4G29040/AT4G38580/AT1G56300/AT1G13440/AT5G61780/AT3G22840/AT2G20880/AT2G41160/AT5G23570/AT3G15840/AT3G04120/AT1G19340/AT5G47910/AT1G79550/AT4G27720/AT5G42020/AT5G15450/AT4G36990/AT1G54050/AT2G38760/AT2G46240/AT5G58070/AT5G65020/AT2G39770/AT4G19020/AT3G24500/AT4G29520
GO:1901570	fatty acid derivative biosynthetic process	40	-0.576057839387742	-1.87430062311492	0.00176828070625947	0.0410716225583724	0.0362754297925099	2575	tags=48%, list=17%, signal=40%	AT1G10670/AT5G62470/AT3G49210/AT1G06360/AT3G16090/AT5G47110/AT1G49430/AT3G47600/AT2G37540/AT1G79700/AT1G51500/AT3G55360/AT4G33790/AT5G12420/AT2G26800/AT1G68530/AT4G24510/AT5G57800/AT2G47240
GO:0009682	induced systemic resistance	19	0.718336918434389	1.85537131468585	0.00176805840982135	0.0410716225583724	0.0362754297925099	1969	tags=53%, list=13%, signal=46%	AT2G46370/AT2G44490/AT3G15210/AT5G07690/AT4G39950/AT5G61420/AT1G42540/AT4G31500/AT4G31550/AT2G22330
