group,names,scores,logfoldchanges,pvals,pvals_adj
B_cells,HHEX,23.178555,3.0297477,7.493720678970692e-119,9.002840735704945e-117
B_cells,SLC25A6,23.166124,0.9707971,1.0000555500920927e-118,1.195321498571809e-116
B_cells,CIRBP,23.139177,0.9323511,1.868433603975488e-118,2.2106966687037253e-116
B_cells,GABPB1-AS1,23.125145,1.4198895,2.586508554644539e-118,3.0449314527466136e-116
B_cells,RPL37A,23.063515,1.1196183,1.0764499430540192e-117,1.2608996407963255e-115
B_cells,HLA-DOB,22.93997,6.3043966,1.85555684391038e-116,2.162693043894949e-114
B_cells,TSPAN13,22.883192,3.696022,6.831546918952924e-116,7.922903449025255e-114
B_cells,DDX5,22.831402,0.8457834,2.236651661782497e-115,2.5811841616048554e-113
B_cells,NCOA3,22.689878,1.8596749,5.6394215735868e-114,6.476212215902842e-112
B_cells,BTG2,22.648647,0.98480517,1.4386311366919363e-113,1.6440395921600971e-111
B_cells,SRSF5,22.618267,0.86304927,2.865203438376055e-113,3.2584039296522257e-111
B_cells,RPS20,22.50258,1.0497245,3.9159935521413713e-112,4.431883137488691e-110
B_cells,ITPR1,22.447802,2.094275,1.3446165950959007e-111,1.5144390852553687e-109
B_cells,SH3BP5,22.435774,1.7167004,1.7621752714285046e-111,1.9752382815194055e-109
B_cells,RPS10,22.303144,1.0172337,3.4442442939630043e-110,3.8423005273653e-108
B_cells,POU2AF1,22.291702,4.573299,4.44754748812756e-110,4.938042417268453e-108
B_cells,RPL39,22.23935,1.2373085,1.4301424139349295e-109,1.5803748269459242e-107
B_cells,DUSP1,22.113352,0.9648861,2.351409429483951e-108,2.574134051613108e-106
B_cells,TMEM156,22.104002,2.7908232,2.8925712944491934e-108,3.1518264053516863e-106
B_cells,UCP2,22.095886,1.1371334,3.462138503556613e-108,3.7549777186491105e-106
B_cells,RPL22L1,22.061562,1.4014742,7.398581645098094e-108,7.987399640539772e-106
B_cells,CDCA7L,22.025549,3.2349734,1.63912845222867e-107,1.7534183675963953e-105
B_cells,GGA2,21.974882,2.3541331,5.008406885036796e-107,5.309137922884933e-105
B_cells,CTSS,21.939045,0.69751924,1.1019147956906544e-106,1.1628179242632865e-104
B_cells,RPS27A,21.898441,1.2464819,2.688187194326369e-106,2.8240431121741633e-104
B_cells,RPS13,21.854536,1.1504902,7.038400653388249e-106,7.361098754773505e-104
B_cells,IFI16,21.850801,1.3289118,7.638088248792482e-106,7.952777484642731e-104
B_cells,TLE1,21.801577,2.882312,2.241583056450596e-105,2.3236091267021286e-103
B_cells,EEF1G,21.801031,0.99448955,2.2684586651960947e-105,2.341109301742243e-103
B_cells,RPL9,21.77878,1.1771106,3.687660823712108e-105,3.789071496364191e-103
B_cells,LSM10,21.76625,1.8736566,4.8469603123623265e-105,4.958503896843328e-103
B_cells,PPIA,21.752909,0.8629121,6.483709665036371e-105,6.604081144469872e-103
B_cells,EEF1A1,21.740923,1.157592,8.41902049074756e-105,8.538198832759441e-103
B_cells,EBLN3P,21.688173,1.6950641,2.6531756076830384e-104,2.667637122797877e-102
B_cells,FCHSD2,21.62226,2.5503533,1.1091228673410895e-103,1.110402624495714e-101
B_cells,RPS15,21.506983,1.0234665,1.3393925877334324e-102,1.3352319213970688e-100
B_cells,RPL5,21.501566,1.1202902,1.5052245432394631e-102,1.494190481969106e-100
B_cells,RPL13,21.491354,1.2133967,1.875597964062824e-102,1.853992974856531e-100
B_cells,SELENOF,21.488585,1.3255732,1.990846574157093e-102,1.9596454912932023e-100
B_cells,CCNI,21.426285,0.83452606,7.600904443079957e-102,7.450476501591388e-100
B_cells,IFT57,21.351631,2.6317952,3.7656226025595165e-101,3.675718362923409e-99
B_cells,PLCG2,21.350222,0.8341023,3.8809379314121175e-101,3.772561531916667e-99
B_cells,SNX29,21.319729,2.4659007,7.448838827562413e-101,7.2109069096406886e-99
B_cells,C16orf74,21.316034,3.5125825,8.060691994445302e-101,7.771104170941155e-99
B_cells,RPS2,21.303963,1.1166787,1.0431037597592486e-100,1.001507859831144e-98
B_cells,CTSZ,21.126305,1.4237899,4.5585143680109294e-99,4.323575550582674e-97
B_cells,ANAPC16,21.050722,0.985051,2.2522548867454552e-98,2.127563517410717e-96
B_cells,RPLP0,21.00002,0.91995156,6.555943010100798e-98,6.168115538057486e-96
B_cells,RUBCNL,20.98865,4.778899,8.32778730896666e-98,7.803802931486479e-96
B_cells,BLNK,20.978731,4.1306934,1.0259335333645358e-97,9.575515890888836e-96
B_cells,CAMK2D,20.765203,2.3938882,8.934822128644493e-96,8.306193571736291e-94
B_cells,PPM1K,20.686893,1.7786167,4.545664199589314e-95,4.2091413124023265e-93
B_cells,RPLP2,20.648443,0.97988945,1.0081651083618833e-94,9.298537005351905e-93
B_cells,FCRL2,20.607132,6.1339946,2.3685817661985914e-94,2.1760300014405648e-92
B_cells,ARID5B,20.570812,1.7584732,5.011939214614699e-94,4.586511717999162e-92
B_cells,MDM4,20.5651,1.259585,5.638311611444797e-94,5.139639148689388e-92
B_cells,RPL35,20.556772,0.9642563,6.693969842442466e-94,6.078280290655025e-92
B_cells,TAF1D,20.540478,1.1450386,9.363649982934845e-94,8.469584098463884e-92
B_cells,SELENOH,20.422459,0.98913354,1.0561123062836479e-92,9.479518390539089e-91
B_cells,TAGLN2,20.403975,1.1104118,1.541587601104932e-92,1.3731852749462067e-90
B_cells,RPS3A,20.365448,1.1705638,3.387347348044846e-92,3.005885845554796e-90
B_cells,HSP90AB1,20.342548,0.82034427,5.4048284690003544e-92,4.778072322387596e-90
B_cells,RPL34,20.331514,1.2055157,6.768236607083392e-92,5.960882668952731e-90
B_cells,RPL30,20.271898,1.1622543,2.2769858561258094e-91,1.9978632079198254e-89
B_cells,PARP14,20.231415,1.6545751,5.179517190938674e-91,4.5276324340343404e-89
B_cells,MT-ATP6,20.20464,0.8466746,8.911666135895783e-91,7.761100467123811e-89
B_cells,UBC,20.189558,0.7247411,1.2094188264834563e-90,1.0493724017788123e-88
B_cells,EIF4A2,20.185482,0.81349325,1.313393427627339e-90,1.1353825767168144e-88
B_cells,RASGRP2,20.178886,1.3089653,1.5009194644831937e-90,1.2927220696488152e-88
B_cells,TMEM154,20.143883,2.0965147,3.0450746011492156e-90,2.6035387839825794e-88
B_cells,ID3,20.0769,2.5270667,1.1750109616741113e-89,1.0009811563323419e-87
B_cells,ARGLU1,20.046642,0.7795491,2.1593838394726274e-89,1.8328943915697551e-87
B_cells,PLAC8,20.016813,1.1147648,3.9306622791135445e-89,3.312360619165216e-87
B_cells,DAPP1,19.986443,2.4292803,7.226754793852048e-89,6.068142815611897e-87
B_cells,EEF1B2,19.969578,0.99368554,1.0130727704966839e-88,8.476162783723505e-87
B_cells,UBXN1,19.933527,0.9205133,2.0835236045933148e-88,1.7308761519435317e-86
B_cells,SEL1L3,19.913877,2.7172673,3.0848719199046486e-88,2.5536853168765443e-86
B_cells,RPS4X,19.900938,1.119584,3.9938009450379336e-88,3.294463899274777e-86
B_cells,TRIM38,19.874159,1.5461404,6.811806720571593e-88,5.59930512430985e-86
B_cells,PRDM2,19.86475,1.3583286,8.216023827068878e-88,6.729957699186805e-86
B_cells,EIF1,19.854162,0.62055624,1.0143958811013379e-87,8.280227284516042e-86
B_cells,WASHC4,19.783264,1.8387623,4.149443138726308e-87,3.375312653157681e-85
B_cells,ACBD3,19.76914,1.9378644,5.490444691009601e-87,4.4506798538505854e-85
B_cells,CLIC1,19.677185,0.9087081,3.382773735050591e-86,2.7326979410700074e-84
B_cells,EVI2B,19.661236,1.0939131,4.63299563289986e-86,3.7298002986922687e-84
B_cells,ADK,19.63945,2.3709297,7.116584565108902e-86,5.709596801602953e-84
B_cells,SMARCB1,19.627308,1.9322685,9.037865040431367e-86,7.20170286742128e-84
B_cells,RPL32,19.579567,1.137649,2.30977368755623e-85,1.8342734975721967e-83
B_cells,APPL1,19.577673,1.7940488,2.397231163750178e-85,1.8972950835532237e-83
B_cells,PMAIP1,19.432198,1.7103357,4.123309570560834e-84,3.2415024600512973e-82
B_cells,TMBIM4,19.432018,1.0429906,4.137697694024675e-84,3.241934577856725e-82
B_cells,NAP1L1,19.4257,0.82862836,4.679743657448236e-84,3.654411822101328e-82
B_cells,PFDN5,19.402325,0.77706534,7.375820912609263e-84,5.740643073744093e-82
B_cells,RPS18,19.37567,1.1540171,1.238391191217509e-83,9.574848328928246e-82
B_cells,IER5,19.367565,1.0610552,1.4495274546906199e-83,1.117042094770959e-81
B_cells,ARHGAP24,19.356962,3.799639,1.780849556745064e-83,1.3678676251103806e-81
B_cells,P2RY10,19.309336,2.0988731,4.4830795312789445e-83,3.421013165448594e-81
B_cells,RPL6,19.271124,0.9763517,9.387371626637669e-83,7.140193347313009e-81
B_cells,HMGN1,19.264492,0.8686625,1.0670904939176869e-82,8.090203560197298e-81
B_cells,CCDC191,19.243834,4.5838604,1.5900010933592038e-82,1.2015792133589054e-80
B_cells,PALM2-AKAP2,19.18993,3.3340824,4.4924780939517584e-82,3.373246291891277e-80
B_cells,RNASET2,19.071192,0.9653795,4.382081291016677e-81,3.269395490593875e-79
B_cells,RPL22,19.057404,0.9699776,5.703550009024505e-81,4.2283881665005403e-79
B_cells,MT-CO2,18.998354,0.7740462,1.759794640729536e-80,1.2964373914582027e-78
B_cells,NSD3,18.996655,1.0315205,1.8176656818352614e-80,1.3348731638982654e-78
B_cells,RPL17,18.917112,1.0635103,8.244967745649621e-80,6.036089355541677e-78
B_cells,MTRNR2L12,18.899998,0.60602254,1.1405929610467958e-79,8.324196666181709e-78
B_cells,RPS21,18.889193,0.9899789,1.3997272985654772e-79,1.018366814394206e-77
