names,scores,logfoldchanges,pvals,pvals_adj
RAP2C,1.1558192,0.3309247,0.24775514497809892,0.9296629261266838
AC022087.1,1.1557508,1.5769122,0.24778312676548486,0.9296629261266838
ZNF518A,1.1555245,0.31291306,0.24787569766678408,0.9297851338872832
CHMP4A,1.1554772,0.0844309,0.2478950760344889,0.9297851338872832
EIF3C,1.1546985,0.92730045,0.24821389460690502,0.9306829239686243
AC012123.1,1.1496165,6.5043087,0.2503018793382874,0.9376114690211159
BRWD3,1.1486484,0.556801,0.25070097733272656,0.9388062333717688
ZCCHC18,1.1473963,1.4575955,0.25121786052028006,0.9403234510509435
MLEC,1.1473752,0.22794336,0.25122655398163896,0.9403234510509435
ZNF34,1.1468071,0.9292807,0.2514613567875815,0.9410519497544205
DSE,1.1458548,0.6630053,0.25185521209085493,0.9423753479719628
MSH5,1.1440609,1.9871597,0.2525983949816928,0.9448543188944782
FABP5,1.1429719,0.28120577,0.2530502800527452,0.9461285486538509
CDKN2A,1.1427667,0.74099296,0.2531354808232493,0.9461285486538509
TFIP11,1.1426983,0.58882594,0.25316388551989566,0.9461285486538509
RNF146,1.1426562,0.49618506,0.2531813664366326,0.9461285486538509
AC092667.1,1.1421564,5.0481405,0.2533890165938083,0.9466025341641122
BCL2A1,1.1417303,0.3345914,0.2535661593210945,0.9471132676044771
KCNK12,1.1398941,0.96243376,0.25433038994395596,0.9492110953030198
PPP1R3E,1.1393892,0.4433771,0.25454088886902726,0.9498453971861582
MTIF3,1.1389998,0.14773045,0.25470323115370985,0.9501485025856625
TOLLIP,1.1387631,0.31850976,0.254801988018719,0.950214290562644
AHDC1,1.1374899,0.6456118,0.2553335371798605,0.9514392835235554
PLXNA3,1.1373111,0.65009034,0.25540827935298493,0.9515664377230245
ZNF195,1.1367166,0.45631656,0.2556567964226788,0.9520381131448253
KHDRBS3,1.1348752,4.130804,0.25642760568293954,0.9541501776261475
ZBTB17,1.1347437,0.70120263,0.2564827251786914,0.9542037164937596
MYLK,1.1343439,2.7263336,0.256650338967246,0.954614379267643
ATP6V0A2,1.134286,0.38344672,0.25667460515673723,0.954614379267643
EML6,1.1340439,3.9525244,0.2567760992083645,0.9548402660562471
CHM,1.1335706,0.40602794,0.25697475510131274,0.9552472604475557
EMSY,1.1334916,0.4311748,0.2570078747855442,0.9552472604475557
TMEM69,1.1312767,0.49108073,0.25793864261145505,0.9584026297317301
FAM210A,1.13074,0.3924471,0.25816450066351937,0.9589376497612603
TAOK1,1.1302403,0.2444172,0.25837498195067554,0.9594152325500833
DENR,1.1295301,0.13880661,0.2586742915294602,0.9600085882577676
AC005332.7,1.1294723,1.7693602,0.2586986903005629,0.9600085882577676
MAGED1,1.1283569,0.51214,0.2591692327484221,0.9616024098190187
CCDC93,1.125921,0.35107324,0.26019894008753097,0.9649644719693823
IFT74,1.1247741,0.4960373,0.26068474900257077,0.9661708742518765
SLC39A1,1.1247636,0.42990926,0.2606892088678069,0.9661708742518765
KMT2B,1.124427,0.28680286,0.26083195242468304,0.9664892647595262
HIVEP1,1.1239166,0.39132133,0.2610484011736275,0.9666883693186074
LINC01003,1.1236956,0.45143336,0.2611421597745476,0.9666883693186074
MYO5A,1.1236483,0.40825883,0.26116225393237014,0.9666883693186074
PIGF,1.1235589,0.33210224,0.26120021248076086,0.9666883693186074
HEATR5A,1.1217859,0.72913766,0.2619534722967334,0.9690168949148229
