run_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_layout	fastq_ftp	fastq_md5	fastq_bytes
SRR26039823	SAMN37359303	SRS18863598	GSM7776099	Leaves, 2d post transition, ZT16, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/023/SRR26039823/SRR26039823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/023/SRR26039823/SRR26039823_2.fastq.gz	e98ed996ec63b12c74d13ff09f46e515;9445720edcf5f79750e828f645946178	3113955986;3114911083
SRR26039824	SAMN37359304	SRS18863597	GSM7776098	Leaves, 2d post transition, ZT12, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/024/SRR26039824/SRR26039824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/024/SRR26039824/SRR26039824_2.fastq.gz	021d67d19ab17d150eaf3092bd8ede20;a77d247de75bc5c54b1504abfb5207f5	4030614119;4160181145
SRR26039769	SAMN37359264	SRS18863652	GSM7776138	Leaves, 12d post transition, ZT12, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/069/SRR26039769/SRR26039769_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/069/SRR26039769/SRR26039769_2.fastq.gz	5c193c9db7ac7078137b81266f8add7c;1a0a01a0a3c823dfd94a14895692d8c6	3758465355;3906159243
SRR26039774	SAMN37359269	SRS18863647	GSM7776133	Leaves, 7d post transition, ZT8, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/074/SRR26039774/SRR26039774_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/074/SRR26039774/SRR26039774_2.fastq.gz	c5e9d531081d759fadf89bf0b7e86260;98c99956be57f89584c4cfea7ba5f064	7089570862;7406177661
SRR26039778	SAMN37359273	SRS18863643	GSM7776129	Leaves, 7d post transition, ZT4, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/078/SRR26039778/SRR26039778_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/078/SRR26039778/SRR26039778_2.fastq.gz	f761eccd8753b678b39b1232af20e742;a30f6adfee7d37a90eb3ca29a1bf5fd9	2889610916;2987139621
SRR26039799	SAMN37359279	SRS18863622	GSM7776123	Leaves, 7d post transition, ZT1, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/099/SRR26039799/SRR26039799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/099/SRR26039799/SRR26039799_2.fastq.gz	8efd4d1209b75696147ec3e53b4ee35e;34d2088be01409a90eb731e3a2d58c22	3871298127;4027271717
SRR26039807	SAMN37359287	SRS18863614	GSM7776115	Leaves, 7d post transition, ZT0, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/007/SRR26039807/SRR26039807_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/007/SRR26039807/SRR26039807_2.fastq.gz	ce320fd7e904bc5e5a4151477eaaffb1;3e14961beaea5f4032dcb583f1dacb6f	2705387980;2833212276
SRR26039808	SAMN37359288	SRS18863613	GSM7776114	Leaves, 7d post transition, ZT0, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/008/SRR26039808/SRR26039808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/008/SRR26039808/SRR26039808_2.fastq.gz	77ebcc76ab65592445c2972303ce2c4f;eea435eafa38c841fdbe833ab58e23cc	3288486806;3425519488
SRR26039815	SAMN37359295	SRS18863606	GSM7776107	Leaves, 2d post transition, ZT20, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/015/SRR26039815/SRR26039815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/015/SRR26039815/SRR26039815_2.fastq.gz	a4727838824cef8dada972e0d9eac602;37fbe09f2fe0f9d40e80d6cc2a97369d	2794862185;2892393442
SRR26039817	SAMN37359297	SRS18863604	GSM7776105	Leaves, 2d post transition, ZT20, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/017/SRR26039817/SRR26039817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/017/SRR26039817/SRR26039817_2.fastq.gz	1ce5a219c39403118765251ff99167fd;e3a7696b4281e4cacf01f8279cb3b355	3741272608;3808791910
